venue_id,name,slug,address,city,city_slug,country,latitude,longitude,rating_score,rating_volume,price_range,online,delivers,delivery_price,estimate_minutes,estimate_range,short_description,tags,scraped_at
64e34185671477e6455dfb96,Saf Qida,saf-qida,"Nəsimi ray., Səməd Vurğun 122C",Baku,baku,AZE,40.38681909,49.83709186,9.0,75,2,True,True,0.0,40,35-45,Saf Qida - Sağlam həyat tərziniz!,"Health,sağlam,çay",2026-02-10T20:07:53.888967
62d9d71cb3021863d7c1c7d5,OrganicBar,organicbar,9RXJ+XVV Баку,Baku,baku,AZE,40.39983332,49.83225004,9.4,316,1,True,True,0.0,50,45-55,Burada faydalı - dadlı!,"şirniyyatlar,çay,səhər yeməyi",2026-02-10T20:07:54.709997
6634d73472053008d141ecf5,Park Zoo,parkzoo," Binagadi district, Mir Jalal street 51",Baku,baku,AZE,40.41697453,49.80851709,9.8,212,2,True,True,0.0,55,50-60,Park Zoo - sizin qədər sevirik 💜,"pet food,pet supply",2026-02-10T20:07:55.763574
67a34aa1f5c8d07553521a2c,Inteqral Kitab Evi,inteqral-kitab-evi,"Faig Yusifov 172B, Narimanov district",Baku,baku,AZE,40.40658398,49.87184493,8.8,17,2,True,True,0.0,40,35-45,Ən münasib kitab evi📚,Kitablar,2026-02-10T20:07:56.571127
689100833c49d2a7b87292fa,Zoo Lux,zoo-lux,"Yasamal area, Inshaatchilar avenue, building 33, house 16",Baku,baku,AZE,40.3850375,49.8222031,8.6,21,2,True,True,0.0,35,30-40,"🐾🐱""Kiçik dostlara böyük sevgi"" 🐾🐱","pet food,pet supply,pişik yeməyi",2026-02-10T20:07:57.445063
6899c939d48585cf01bfad8b,BEER DOST Narimanov,beer-dost-narimanov,"Nərimanov rayonu, Ceyhun Hacıbəyli  küçəsi, ev 24, mənzil 11a (9RQW+7W5, Ceyhunbəy Hacıbəyli, Bakı)",Baku,baku,AZE,40.3881375,49.8473594,8.8,87,2,True,True,0.0,40,35-45,BEER DOST - Sizin Pivə dostunuz🍺,"pivə,pivə,içkilər",2026-02-10T20:07:58.218175
6903340802550871510fc827,Grabstar 28 May,grabstar-28-may,"Nəsimi ray., Nizami küç., 203E 9VG3+VPC Баку",Baku,baku,AZE,40.3771428,49.8540156,9.4,81,1,True,True,0.0,25,20-30,"Avropa və Asiya dadlarına sevgi qatdıq, sizin üçün GRABSTAR yaratdıq!","salat,tort,şirniyyatlar",2026-02-10T20:07:58.933732
679bf58cff0334f0bc3cee7b,TELESTOP,telestop,"Azadlig Ave. 41 Q, Baku City",Baku,baku,AZE,40.37826548,49.84794254,7.8,35,2,True,True,0.0,25,20-30,Nömrə Bir Telefon Aksesuarları 📱,"headphones,accessories,Electronics",2026-02-10T20:07:59.709058
6194f16a2ea66a0f91fb5deb,Detskaya Skazka,detskaya-skazka,Inshaatchilar Avenue 38,Baku,baku,AZE,40.38493917,49.82393195,9.0,83,2,True,True,0.0,40,35-45,Ən yaxşısı uşaqlar üçün,"Kitablar,uşaqlar",2026-02-10T20:08:00.578733
6818a8c2ae5a96d191aa61cc,Parfum AZ by Luxodor Azadliq,parfum-az-by-luxodor-azadliq,Azadliq pr. girish 57B,Baku,baku,AZE,40.38079643,49.84675264,9.6,21,2,True,True,0.0,40,35-45,Parfum AZ by Luxodor Azadliq⚱💨,"parfum,Health,cosmetics",2026-02-10T20:08:01.381103
